customer_id,age,tenure_months,monthly_charges,total_charges,usage_minutes,support_tickets,last_login_days,contract_type,payment_method,churn
1,56,1,18.65,18.65,618,1,42,Month-to-Month,Debit Card,0
2,69,10,112.81,1128.1,663,2,48,Month-to-Month,Debit Card,1
3,46,36,83.04,2989.44,586,1,58,One Year,Debit Card,0
4,32,9,39.85,358.65,200,3,24,Month-to-Month,Net Banking,1
5,60,45,119.44,5374.8,514,1,30,Month-to-Month,Net Banking,1
6,25,46,38.53,1772.38,570,2,38,One Year,Credit Card,0
7,38,42,46.49,1952.58,438,2,57,Month-to-Month,Debit Card,0
8,56,32,22.95,734.4,522,2,58,Month-to-Month,Debit Card,1
9,36,32,65.92,2109.44,438,2,2,Two Year,Credit Card,0
10,40,6,68.65,411.9,396,0,38,Month-to-Month,Net Banking,1
11,28,48,82.04,3937.92,681,0,37,Two Year,Net Banking,0
12,28,38,109.25,4151.5,525,0,34,Month-to-Month,UPI,1
13,41,17,136.85,2326.45,367,0,7,One Year,Net Banking,0
14,53,10,29.28,292.8,334,0,0,Month-to-Month,UPI,1
15,57,50,17.61,880.5,396,1,4,Month-to-Month,Credit Card,0
16,41,27,12.59,339.93,397,0,55,One Year,Net Banking,0
17,20,54,30.11,1625.94,517,0,50,Two Year,Credit Card,0
18,39,50,102.11,5105.5,558,0,26,Month-to-Month,UPI,1
19,19,35,111.85,3914.75,558,1,44,One Year,Debit Card,0
20,41,52,120.11,6245.72,409,1,25,Month-to-Month,Debit Card,0
21,61,59,44.12,2603.08,610,2,42,One Year,Credit Card,0
22,47,21,52.83,1109.43,647,0,59,One Year,Debit Card,0
23,55,25,77.64,1941.0,468,0,53,Month-to-Month,Credit Card,1
24,19,28,18.85,527.8,376,0,25,Month-to-Month,UPI,0
25,38,47,95.56,4491.32,512,0,10,Month-to-Month,Debit Card,1
26,50,15,147.72,2215.8,759,1,33,Two Year,UPI,1
27,29,4,60.51,242.04,373,1,40,Month-to-Month,Net Banking,1
28,39,29,115.4,3346.6,436,2,1,One Year,Debit Card,0
29,61,59,80.0,4720.0,506,1,20,Month-to-Month,Debit Card,0
30,42,9,27.89,251.01,564,2,50,One Year,Debit Card,0
31,66,27,91.51,2470.77,261,1,25,One Year,Credit Card,0
32,44,26,51.98,1351.48,656,2,11,One Year,Net Banking,0
33,59,19,14.82,281.58,655,0,8,Two Year,Net Banking,0
34,45,56,98.89,5537.84,449,0,40,Month-to-Month,Net Banking,0
35,33,28,130.25,3647.0,824,2,22,Month-to-Month,UPI,0
36,32,17,58.27,990.59,647,2,41,Two Year,Net Banking,0
37,64,43,64.64,2779.52,640,0,4,Month-to-Month,Credit Card,0
38,68,57,134.74,7680.18,642,1,8,One Year,Credit Card,0
39,61,41,123.91,5080.31,639,0,54,One Year,UPI,0
40,69,42,110.09,4623.78,497,2,49,One Year,UPI,1
